AÑO,DBF,DBV,DAS,BAF,HIP,GLU,TAB,IMC,ALC
1990,4172,4459,6717,778,42440,23040,46415,22271,18840
1991,4060,4324,6661,691,42365,23242,45869,22689,18775
1992,4009,4272,6730,648,43143,23940,46216,23518,18993
1993,3854,4122,6662,612,43103,24239,45708,23909,18801
1994,3654,3922,6499,580,42456,24199,44885,24043,18544
1995,3544,3848,6538,584,43198,24817,45126,24729,18538
1996,3406,3753,6548,597,43750,25350,45556,25447,18619
1997,3234,3643,6569,632,44572,26163,45967,26237,18570
1998,3090,3580,6655,690,45963,27281,46526,27296,18408
1999,2947,3511,6694,743,47052,28137,46945,28226,18267
2000,2723,3315,6467,747,46300,27640,45673,28032,17673
2001,2636,3275,6470,761,47322,27874,45880,28610,17608
2002,2601,3296,6561,783,49154,28339,46722,29460,17660
2003,2553,3292,6591,805,50729,28653,47185,30052,17527
2004,2422,3174,6409,794,50583,28008,46319,29713,17005
2005,2307,3084,6276,785,50526,27533,45836,29490,16890
2006,2233,3052,6281,789,51530,27546,46026,29689,17081
2007,2204,3089,6439,814,53868,28339,47285,30527,17571
2008,2070,2958,6282,791,53466,27704,46398,29994,17478
2009,2013,2929,6316,801,54458,28011,46503,30291,17553
2010,1995,2945,6464,829,56051,28701,46971,30861,17750
2011,1972,2934,6528,840,56401,29211,47324,31240,18037
2012,1939,2903,6574,843,56213,29692,47485,31548,18364
2013,1921,2887,6649,853,56167,30416,47689,31946,18666
2014,1899,2855,6686,860,55872,31043,47575,32192,18804
2015,1928,2900,6856,888,56821,32446,48531,33167,19272
2016,2029,3030,7157,994,59015,34856,50483,34897,20220
2017,2094,3087,7263,1089,59610,36691,51077,35840,20571
2018,2093,3053,7186,1075,58718,37660,50863,35980,20625
2019,2134,3085,7258,1088,59080,39517,51306,36676,20962
